,BLM-Bishop Field Office,CAL FIRE-Fresno Kings,CAL FIRE-San Bernardino/Inyo/Mono,CAL FIRE-Tulare,NPS-Sequoia and Kings,USFS-Inyo National Forest-Mammoth,USFS-Inyo National Forest-Mt. Whitney,USFS-Inyo National Forest-White Mountain,USFS-Sequoia National Forest-Giant Sequoia National Monument,USFS-Sequoia National Forest-Hume Lake,USFS-Sequoia National Forest-Kern River,USFS-Sequoia National Forest-Western Divide,USFS-Sierra National Forest-High Sierra
BLM-Bishop Field Office,0,0,0,0,0,0,1,1,0,0,1,0,0
CAL FIRE-Fresno Kings,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL FIRE-San Bernardino/Inyo/Mono,0,0,0,0,0,0,0,0,0,0,0,0,0
CAL FIRE-Tulare,0,0,0,0,0,0,0,0,0,0,0,0,0
NPS-Sequoia and Kings,0,0,0,0,0,0,1,1,0,1,0,1,1
USFS-Inyo National Forest-Mammoth,0,0,0,0,0,0,0,1,0,0,0,0,1
USFS-Inyo National Forest-Mt. Whitney,1,0,0,0,1,0,0,1,0,0,1,1,0
USFS-Inyo National Forest-White Mountain,1,0,0,0,1,1,0,0,0,0,0,0,0
USFS-Sequoia National Forest-Giant Sequoia National Monument,0,0,0,0,0,0,0,0,0,0,0,0,0
USFS-Sequoia National Forest-Hume Lake,0,0,0,0,1,0,0,0,0,0,0,0,1
USFS-Sequoia National Forest-Kern River,1,0,0,0,0,0,1,0,0,0,0,1,0
USFS-Sequoia National Forest-Western Divide,0,0,0,0,1,0,1,0,0,0,1,0,0
USFS-Sierra National Forest-High Sierra,0,0,0,0,1,1,0,0,0,1,0,0,0